t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
113,24.642284691801486,4580,4900,3783.372405243291,209438.85251435242,0.458,0.49,-0.21336484289659666,0.011264115344541128,0.008586484957624334,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5624.047022610805,Local
114,24.604852263223137,4682,4939,3842.91340973828,212878.75607209295,0.4682,0.4939,-0.3233737204682347,0.003349338515544632,0.003072500002595454,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5625.491912280865,Local
115,24.548613355315617,5222,4977,4074.895494921484,225958.6056255737,0.5222,0.4977,-0.09525520432363155,0.0181660892733164,0.012831231027409346,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5626.804762422827,Local
116,24.532190044225334,6156,5201,4479.1836560706115,248450.5077919366,0.6156,0.5201,-0.3734730331983994,0.0026130838422888684,0.0024973557462025456,0.5,0.7,High ($d_a = 0.7$),local,10000,5628.080246737714,Local
117,24.468348500088855,4250,4943,3635.7364375289817,201898.44879438792,0.425,0.4943,-0.1385978394439213,0.024843678742721052,0.014179532201962438,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5629.215604909671,Local
118,24.44485734086107,5611,4945,4188.970499154241,232718.85367543827,0.5611,0.4945,-0.13381677409437454,0.012831522679359253,0.010202436198333217,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5630.301453758418,Local
119,24.42236712672756,5407,4918,4111.530404833362,228509.12738712583,0.5407,0.4918,-0.22025451292880313,0.008505166113788003,0.007199619961805172,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5631.340936979328,Local
120,24.385658041239427,7296,5371,4840.022654943047,269174.67502015084,0.7296,0.5371,0.10062064044225677,0.020627016122497767,0.016293060724213698,0.5,0.7,High ($d_a = 0.7$),local,10000,5632.3069142243085,Local
121,24.402289552056327,2088,4089,2016.028552190623,112086.57169948136,0.2088,0.4089,-0.17410825134627556,0.01705511342802233,0.008958214633799304,0.5,0.3,Low ($d_a = 0.3$),local,10000,5633.305860351656,Local
122,24.373747215770052,2667,4120,2480.6639002822963,137990.0371898168,0.2667,0.412,-0.16141876308301206,0.028758733737256483,0.012275410426329608,0.5,0.3,Low ($d_a = 0.3$),local,10000,5634.2485665593085,Local
123,24.34750026242322,6669,5363,4701.223898642082,261634.86178546818,0.6669,0.5363,0.005433628906533483,0.019221726618883505,0.014806983570123099,0.5,0.7,High ($d_a = 0.7$),local,10000,5635.140993729803,Local
124,24.34837665418234,2201,4227,2120.36409673359,118001.70406741266,0.2201,0.4227,-0.19034700427311085,0.009845409845409835,0.006563669626494922,0.5,0.3,Low ($d_a = 0.3$),local,10000,5636.035077494266,Local
125,24.31792113349864,5123,4916,4012.1874278365744,223406.9367839814,0.5123,0.4916,-0.006790312025026557,0.026341135801141363,0.016348295102746813,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5636.872493751555,Local
126,24.31684330619308,3351,4120,2925.997788066594,162928.79331864463,0.3351,0.412,-0.19760727805519493,0.009339364746394145,0.00687422137950261,0.5,0.3,Low ($d_a = 0.3$),local,10000,5637.707938521308,Local
127,24.285724049806433,6237,5277,4542.181903595195,253064.37599287825,0.6237,0.5277,-0.06634226162561119,0.016756564407086953,0.012982327614446659,0.5,0.7,High ($d_a = 0.7$),local,10000,5638.4874640380485,Local
128,24.27535807142743,7667,5398,4923.360164689281,274352.4822627083,0.7667,0.5398,0.0975717308852333,0.019068101781046697,0.015623571061323938,0.5,0.7,High ($d_a = 0.7$),local,10000,5639.248792609792,Local
129,24.290485471564676,3662,4057,3071.4885067783357,171111.13359228984,0.3662,0.4057,-0.11954757860949097,0.016458766042764705,0.01049742327424625,0.5,0.3,Low ($d_a = 0.3$),local,10000,5640.036748586894,Local
130,24.272093536393985,6758,5275,4670.006860184758,260249.70548877463,0.6758,0.5275,-0.09724409772087145,0.013207723254925403,0.011048125566471619,0.5,0.7,High ($d_a = 0.7$),local,10000,5640.7923909316005,Local
131,24.257247109261026,6040,4811,4230.994761801689,235847.29548912257,0.604,0.4811,-0.07829765381338344,0.012883222354796218,0.01057971138380284,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5641.522442380127,Local
132,24.24538382838021,3692,4019,3073.3341790097375,171352.56751780811,0.3692,0.4019,-0.1959535982777576,0.00750931373796147,0.005982566505328963,0.5,0.3,Low ($d_a = 0.3$),local,10000,5642.232361868486,Local
133,24.215917121872277,7016,5384,4792.20349196859,267328.6767648289,0.7016,0.5384,0.061190829741970876,0.020247249917239987,0.015784445091764455,0.5,0.7,High ($d_a = 0.7$),local,10000,5642.893494282781,Local
134,24.225050081535258,5006,4842,3937.0159575299267,219586.86785942817,0.5006,0.4842,-0.01172888248182663,0.025933177461250408,0.016044345402141467,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5643.569562136066,Local
135,24.22331246931573,5483,4863,4108.824885567117,229176.64176057666,0.5483,0.4863,0.1447022328991035,0.033892738614713286,0.020011485742575785,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5644.242775562853,Local
136,24.24459220944795,7629,5319,4863.377984545616,271159.622767934,0.7629,0.5319,-0.39734850929882204,0.0023958645336528053,0.002331842364444519,0.5,0.7,High ($d_a = 0.7$),local,10000,5644.9513616935765,Local
137,24.186585127798487,4279,4811,3611.2100885628724,201553.96686363922,0.4279,0.4811,-0.22406666508710696,0.01034037906201955,0.00792252001320405,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5645.565654755971,Local
138,24.154111698075717,6845,5364,4742.761080609329,264863.7055504223,0.6845,0.5364,-0.46546380029888657,0.00026512561005792053,0.00026410322252474203,0.5,0.7,High ($d_a = 0.7$),local,10000,5646.130099039363,Local
139,24.087138489399617,5392,4797,4047.9352277039343,226331.64179049068,0.5392,0.4797,0.0038486317902535205,0.021268510094618723,0.014757606010823206,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5646.598395450328,Local
